finding,axis,subgroup,n_samples,n_positive,prevalence,AUROC,AUROC_CI_low,AUROC_CI_high,sensitivity,specificity,reliable
Effusion,sex,Male,1853,205,0.11063140630722046,0.8615350461757044,0.836338301918774,0.8842717277632076,0.6585365853658537,0.8695388349514563,True
Effusion,sex,Female,1484,201,0.1354447454214096,0.8594556446140303,0.8338429324841009,0.8845254772485437,0.6218905472636815,0.8667186282151208,True
Effusion,age_group,60-79,911,146,0.16026344895362854,0.8452860596293311,0.8150621279206912,0.874895062714342,0.6232876712328768,0.8522875816993464,True
Effusion,age_group,40-59,1549,181,0.11684957891702652,0.861349390972828,0.8319657554335159,0.885545678068624,0.6906077348066298,0.8574561403508771,True
Effusion,age_group,80+,66,12,0.1818181872367859,0.6111111111111112,0.4786657559198543,0.7416606612508735,0.5833333333333334,0.5740740740740741,True
Effusion,age_group,20-39,623,44,0.07062600553035736,0.895077720207254,0.8581113083830341,0.9308701371330798,0.5681818181818182,0.927461139896373,True
Effusion,age_group,0-19,188,23,0.12234042584896088,0.8624505928853756,0.7621657373050164,0.9381290828495609,0.5217391304347826,0.9212121212121213,True
Effusion,view_position,PA,2039,194,0.09514468163251877,0.8941748386556031,0.8711638579536215,0.916932494872972,0.6391752577319587,0.9284552845528455,True
Effusion,view_position,AP,1298,212,0.16332820057868958,0.7911237360575419,0.7634051423124909,0.8201657793755402,0.6415094339622641,0.7661141804788214,True
Cardiomegaly,sex,Male,1853,53,0.028602266684174538,0.8947169811320754,0.8499263840276526,0.9333457965007427,0.39622641509433965,0.965,True
Cardiomegaly,sex,Female,1484,70,0.04716981202363968,0.8609820165690039,0.825043753702943,0.8943210541391111,0.32857142857142857,0.9335219236209336,True
Cardiomegaly,age_group,60-79,911,40,0.04390779510140419,0.8297646383467279,0.7726541897215987,0.8795306998295264,0.3,0.9575200918484501,True
Cardiomegaly,age_group,40-59,1549,49,0.03163331001996994,0.904530612244898,0.8628605122248351,0.9408178235079245,0.3469387755102041,0.9553333333333334,True
Cardiomegaly,age_group,80+,66,1,0.01515151560306549,0.9846153846153847,0.953125,1.0,1.0,0.8153846153846154,False
Cardiomegaly,age_group,20-39,623,14,0.02247191034257412,0.9045273281726484,0.8736427589892816,0.9342747676927983,0.14285714285714285,0.9523809523809523,True
Cardiomegaly,age_group,0-19,188,19,0.10106383264064789,0.8695110557458735,0.7699071620434222,0.9484166614635365,0.631578947368421,0.9289940828402367,True
Cardiomegaly,view_position,PA,2039,58,0.02844531647861004,0.9201900816376264,0.8857096113148829,0.9501969146932965,0.5172413793103449,0.9586067642604745,True
